restaurant,street,zip,city,country
McDonalds,Alexanderplatz 1,10178 Berlin,Berlin,Germany
McDonalds,Europaplatz 1,10557 Berlin,Berlin,Germany
McDonalds,Walther-Schreiber-Platz 1,12161 Berlin,Berlin,Germany
McDonalds,Hansastraﬂe 1,13053 Berlin,Berlin,Germany
McDonalds,Hanne-Sobek-Platz 1,13357 Berlin,Berlin,Germany
McDonalds,Grunerstraﬂe 20,10179 Berlin,Berlin,Germany
McDonalds,Osloer Straﬂe,13359 Berlin,Berlin,Germany
McDonalds,Schnellerstraﬂe 21,12439 Berlin,Berlin,Germany
McDonalds,Alboinstraﬂe 4,12103 Berlin,Berlin,Germany
McDonalds,Weitlingstraﬂe 22,10317 Berlin,Berlin,Germany
McDonalds,Groﬂbeerenstraﬂe 22,12107 Berlin,Berlin,Germany
McDonalds,Wrangelstraﬂe 35,10997 Berlin,Berlin,Germany
McDonalds,Sonntagsstraﬂe 37,10245 Berlin,Berlin,Germany
McDonalds,Kurt-Schumacher-Damm 38,13405 Berlin,Berlin,Germany
McDonalds,Prenzlauer Promenade 45,13089 Berlin,Berlin,Germany
McDonalds,Wendenschloﬂstraﬂe 2,12559 Berlin,Berlin,Germany
McDonalds,Charlottenburger Chaussee 49,13597 Berlin,Berlin,Germany
McDonalds,Am Borsigturm 2,13507 Berlin,Berlin,Germany
McDonalds,Am Ostbahnhof 9,10243 Berlin,Berlin,Germany
McDonalds,Bitterfelder Straﬂe 9,12681 Berlin,Berlin,Germany
McDonalds,Alt-Mahlsdorf 60,12623 Berlin,Berlin,Germany
McDonalds,Alt-Friedrichsfelde 61,10315 Berlin,Berlin,Germany
McDonalds,Werner-Voﬂ-Damm 62,12101 Berlin,Berlin,Germany
McDonalds,Karl-Marx-Straﬂe 66,12043 Berlin,Berlin,Germany
McDonalds,Greifswalder Straﬂe 80,10405 Berlin,Berlin,Germany
McDonalds,Klosterstraﬂe 3,13581 Berlin,Berlin,Germany
McDonalds,Saalestraﬂe 83,12055 Berlin,Berlin,Germany
McDonalds,Markstraﬂe 16,13409 Berlin,Berlin,Germany
McDonalds,Rudower Straﬂe 100,12351 Berlin,Berlin,Germany
McDonalds,Frankfurter Allee 117,10247 Berlin,Berlin,Germany
McDonalds,Clayallee 121,14195 Berlin,Berlin,Germany
McDonalds,Friedrichstraﬂe 207,10969 Berlin,Berlin,Germany
McDonalds,Sonnenallee 254,12057 Berlin,Berlin,Germany
McDonalds,Heerstraﬂe 666,13591 Berlin,Berlin,Germany
McDonalds,Leipziger Platz 12-13,10117 Berlin,Berlin,Germany
McDonalds,Hermannplatz 2-3,10967 Berlin,Berlin,Germany
McDonalds,Kantstraﬂe 111a,10627 Berlin,Berlin,Germany
McDonalds,Osdorfer Str. 125a,12207 Berlin,Berlin,Germany
McDonalds,Friedrichstraﬂe 141-142,10117 Berlin,Berlin,Germany
McDonalds,Friedrichstraﬂe 141-142,10117 Berlin,Berlin,Germany
McDonalds,Marzahner Promenade 1a,12679 Berlin,Berlin,Germany
McDonalds,Adlergestell 289a,12489 Berlin,Berlin,Germany
McDonalds,Am Juliusturm 40-46,13599 Berlin,Berlin,Germany
McDonalds,Mecklenburgische Straﬂe 65-68,14197 Berlin,Berlin,Germany
McDonalds,Hardenbergplatz 11,10623 Berlin,Berlin,Germany
McDonalds,Tauentzienstraﬂe 9-12,10789 Berlin,Berlin,Germany
